claim_id,V9_2_section,V9_2_claim,required_dataset,available_dataset,raw_or_summary,analysis_script,reproduced_value,V9_2_value,difference,V10_action,status
C11,Methods/throughput,HRBAC and baseline runs interleaved within each concurrency cell,throughput_runs.csv start_timestamp order,throughput_runs.csv,raw,build_phase1_4_reports.py,"within every concurrency cell, all 5 baseline runs run before all 5 hrbac runs (blocked, not interleaved)",interleaved (per V08 fix),"design is blocked by condition, not interleaved",withdraw interleaving claim; report as blocked design with a within-cell order limitation,withdrawn
C12,Results/security,"8,000/8,000 scripted attempts blocked (""all attacks correctly refused"")",authorization_boundary_attempts.csv,authorization_boundary_attempts.csv,raw,build_phase1_4_reports.py,"7955/8000 denied, 45 allowed (not blocked)",8000/8000 blocked,"45 scripted attempts were allowed, not blocked","replace with the real count and drop ""all attacks were correctly refused""; report the allowed subset by scenario",changed
C13,Results/revocation,200 revocation-stage records,revocation_stages.csv,revocation_stages.csv,raw,build_phase1_4_reports.py,"200 records, 50 distinct events x 4 stages each, 3 stage failures",200,0,keep,reproduced_exactly
C14,Results/revocation,59/200 = 29.5% of stage records carry a delayed label,revocation_stages.csv,revocation_stages.csv (status field only has completed/failed),raw,build_phase1_4_reports.py,"no 'delayed' label exists in this file's status field; computed publish->propagation_complete delay directly: mean 5.98s, max 9.0s (all well under a minute, all 50 events fully linked)",29.5% delayed,no delayed-label concept in this data; computed delays are uniformly small,"withdraw the 29.5%-delayed claim; report the directly computed stage-to-stage delay distribution instead, noting all 50 revocation events are fully linked (an improvement over the earlier unlinked-stage-record limitation)",withdrawn
C15,Results/revocation,973 field access attempts recorded as denied for revocation,revocation_denials.csv,revocation_denials.csv,raw,build_phase1_4_reports.py,973,973,0,keep,reproduced_exactly
C16,Results/availability,"3 gateway connectivity outages, zero sensor data loss",connectivity_outages.csv + sensor_transactions.csv,"both present, contradictory",raw,reconcile_outages.py,"3 outages confirmed; ""zero data loss"" is not supported -- see results/outage_data_integrity_report.md (internally_inconsistent, 36/39 sensor-outage pairs)","3 outages, implicitly zero loss",outage log and sensor-transaction table could not be reconciled at the affected-gateway level,report 3 outages; withdraw any zero-data-loss or buffering claim pending analyst follow-up,unresolved
C17,Results/energy,energy single-channel/CRT 24.20/12.41 mJ (CRT 48.7% lower),energy_measurements.csv,energy_measurements.csv,raw,build_phase1_4_reports.py,"single_channel mean 9.98 mJ, crt mean 11.60 mJ -- CRT is HIGHER, not lower","24.20/12.41 mJ, CRT lower",direction reversed: CRT costs more energy than single-channel in this data,replace with real means and the reversed direction; do not claim a CRT energy benefit,changed
C18,Results/crypto,signing pipeline ~900us (SD 9),cryptographic_timings.csv,cryptographic_timings.csv,raw,build_phase1_4_reports.py,"ed25519_sign mean 1852.8us, ed25519_verify mean 3184.2us, sha256 mean 84.5us",~900us (SD9),"signing alone is ~1853us, roughly double the previously reported figure; SHA-256 (~85us) may be the component previously conflated with ""signing pipeline""","report the three operations separately with their own means/SDs instead of one combined ""signing pipeline"" figure",changed
C19,Results/CRT,"90.0% of writes reconstructed from 2 of 3 residues, all mathematically incorrect",sensor_transactions.csv crt_residues_received,sensor_transactions.csv,raw,build_phase1_4_reports.py,crt_residues_received takes values 0-5 (not 0-3): dominant value is 5 residues (144675/146400 = 98.8%); values of 1-4 residues occur only 344-377 times each,"k=3 scheme, 90% two-residue reconstructions","the historical scheme in this data appears to use up to 5 residues, not the 3-residue (moduli 97/101/103) scheme the prior CRT narrative assumed",re-derive the CRT bound analysis from the actual chaincode/firmware modulus set before restating any CRT recovery-bound claim; do not reuse the k=3 narrative unverified,provenance_uncertain
C20,Discussion,"377,414 rows across 10 traces",sum of all 10 raw trace files,all 10 files,raw,build_phase1_4_reports.py,381876,377414,+4462,"report the real computed total, not 377414",changed
C21,Results/corrected-implementation,corrected-implementation performance measurements,any corrected_*.csv in the package,none present,n/a,n/a,not present,n/a (new claim),no corrected-version data supplied,retain the non-equivalence statement per task Phase 8; do not benchmark the corrected implementation,missing
